Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spec_bzip2_0	1.650388	0.011748	0.000072	0.363126
bzip2_1	1.664058	0.013335	0.000070	0.315971
spec_bzip2_2	1.724831	0.010943	0.000070	0.539162
bzip2_3	1.852581	0.018283	0.000087	0.427357
spec_bzip2_4	1.644189	0.010953	0.000070	0.393892
bzip2_5	1.666573	0.014359	0.000067	0.173845
spec_bzip2_6	1.673385	0.010950	0.000070	0.443180
bzip2_7	1.625566	0.009841	0.000053	0.260146
spec_bzip2_8	1.642654	0.010952	0.000070	0.392486
bzip2_9	1.617782	0.009068	0.000052	0.284343
spec_bzip2_10	1.617843	0.009068	0.000052	0.284353
